country_name,date,parameter,product,value,unit
France,5/1/2021,Net Electricity Production,Other Renewables,39.8221,GWh
France,5/1/2021,Net Electricity Production,Not Specified,43.6602,GWh
France,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",12874.898,GWh
France,5/1/2021,Total Imports,Electricity,1248.1814,GWh
France,5/1/2021,Total Exports,Electricity,7175.332,GWh
France,5/1/2021,Used for pumped storage,Electricity,471.3608,GWh
France,5/1/2021,Distribution Losses,Electricity,2662.934,GWh
France,5/1/2021,Final Consumption (Calculated),Electricity,33507.6318,GWh
Germany,5/1/2021,Net Electricity Production,Electricity,42801.75,GWh
Germany,5/1/2021,Net Electricity Production,Nuclear,5279.5893,GWh
Germany,5/1/2021,Net Electricity Production,Total Combustible Fuels,18901.7117,GWh
Germany,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",8539.3297,GWh
Germany,5/1/2021,Net Electricity Production,Oil and Petroleum Products,336.3637,GWh
Germany,5/1/2021,Net Electricity Production,Natural Gas,5777.7069,GWh
Germany,5/1/2021,Net Electricity Production,Combustible Renewables,3724.5285,GWh
Germany,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,523.7828,GWh
Germany,5/1/2021,Net Electricity Production,Hydro,2356.4867,GWh
Germany,5/1/2021,Net Electricity Production,Wind,9958.9944,GWh
Germany,5/1/2021,Net Electricity Production,Solar,6143.3077,GWh
Germany,5/1/2021,Net Electricity Production,Geothermal,14.2212,GWh
Germany,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Germany,5/1/2021,Net Electricity Production,Not Specified,147.439,GWh
Germany,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22197.5386,GWh
Germany,5/1/2021,Total Imports,Electricity,4757.077,GWh
Germany,5/1/2021,Total Exports,Electricity,4539.5535,GWh
Germany,5/1/2021,Used for pumped storage,Electricity,584.5305,GWh
Germany,5/1/2021,Distribution Losses,Electricity,2075.563,GWh
Germany,5/1/2021,Final Consumption (Calculated),Electricity,40359.18,GWh
Greece,5/1/2021,Net Electricity Production,Electricity,3631.1397,GWh
Greece,5/1/2021,Net Electricity Production,Nuclear,0,GWh
Greece,5/1/2021,Net Electricity Production,Total Combustible Fuels,1996.541,GWh
Greece,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",343.9204,GWh
Greece,5/1/2021,Net Electricity Production,Oil and Petroleum Products,338.7879,GWh
Greece,5/1/2021,Net Electricity Production,Natural Gas,1266.7433,GWh
Greece,5/1/2021,Net Electricity Production,Combustible Renewables,43.7624,GWh
Greece,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,3.3271,GWh
